SentDate,BulletinSubject,SubscriberListSentTo,TotalRecipients,PercentDelivered,TotalEmailOpens
2017-02-27,Pets at Home recalls four lines of AVA dry cat food products due to low levels of thiamine: http://ow.ly/3sQV309p0xj,Subscribers of Food alerts,5982,99,688
2017-02-27,Pets at Home recalls four dry cat food products due to low levels of thiamine,Subscribers of Food alerts by Email,62283,98.8,21076
2017-02-24,Waitrose recalls Frozen 2 Breaded Haddock Fillets because of incorrect allergen labelling,Subscribers of Wales news,7708,98.1,1953
2017-02-24,Waitrose recalls Frozen 2 Breaded Haddock Fillets because of incorrect allergen labelling,Subscribers of Northern Ireland news,7417,98,2046
2017-02-24,Waitrose recalls Frozen 2 Breaded Haddock Fillets because of incorrect allergen labelling http://ow.ly/1GNh309kzDa #FoodAllergy #MustardAllergy,Subscribers of Milk SMS,1108,97,58
2017-02-24,Waitrose recalls Frozen 2 Breaded Haddock Fillets because of incorrect allergen labelling http://ow.ly/1GNh309kzDa #FoodAllergy #MustardAllergy,Subscribers of Mustard SMS,922,96.1,50
2017-02-24,Waitrose recalls Frozen 2 Breaded Haddock Fillets because of incorrect allergen labelling,Subscribers of Mustard,5219,97.7,2116
2017-02-24,Waitrose recalls Frozen 2 Breaded Haddock Fillets because of incorrect allergen labelling,Subscribers of Milk,5693,97.9,2120
2017-02-23,Responses to proposal to introduce specific approval for production of rare burgers,Subscribers of Help shape our policies,6397,97.8,2205
2017-02-23,Responses to proposal to introduce specific approval for production of rare burgers,Subscribers of Help shape our policies,6399,97.8,1921
2017-02-23,Responses to proposal to introduce specific approval for production of rare burgers,Subscribers of Help shape our policies,6399,97.8,1952
2017-02-20,Setting the record straight on meat inspection,Subscribers of General news,34924,98.8,13356
2017-02-20,Setting the record straight on meat inspection,Subscribers of Wales news,7677,98.2,2062
2017-02-20,Setting the record straight on meat inspection,Subscribers of Northern Ireland news,7389,98.1,2018
2017-02-18,Morrisons recalls Peppered Beef Slices because of the presence of Listeria: http://bit.ly/2lYwGu8,Subscribers of Food alerts,5945,98.9,1144
2017-02-17,Poundstretcher recalls Chocolate Cr??me Oreos because of incorrect allergen labelling,Subscribers of Wales news,7661,98.2,1967
2017-02-17,Poundstretcher recalls Chocolate Cr??me Oreos because of incorrect allergen labelling,Subscribers of Northern Ireland news,7373,98.1,1904
